"id","course_name","created_at","parent_id","description"
"e7fac10f-24b4-4db4-9830-61ff38cfc93f","Grade 3","2020-12-05T07:16:53.000Z",,"course"
"243127c3-84ca-4459-8f86-a4343a921930","MATHEMATICS","2020-12-06T01:05:46.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","sub"
"38df06fc-5c03-41e6-8a53-b37e79eca415","TAMIL","2021-02-09T03:42:07.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","SUB"
"397e6146-9fc0-4053-b9b5-1552be109d1a","COMPUTER SCIENCE","2021-08-10T04:15:20.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","SUB"
"42bd3e44-23fa-45d4-9d84-c3b7068630c7","URDU","2021-02-01T01:22:45.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","SUB"
"83bc06a5-026f-411d-aaa1-842a695aa465","ENGLISH","2020-12-06T01:07:03.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","sub"
"88084a54-9380-4e15-b4e9-2d38fcd0fbfd","SOCIAL SCIENCE","2020-12-06T01:06:34.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","sub"
"d182db6c-a4e4-4ff8-a9df-94f3b6698799","KANNADA","2021-08-19T02:28:25.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","SUBJECT"
"df5dee04-27e5-40e7-8726-a27805798d66","HINDI","2021-02-01T01:21:54.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","SUB"
"eb38b4ba-2c9e-4161-b863-56199ea00765","SCIENCE","2020-12-06T01:06:13.000Z","e7fac10f-24b4-4db4-9830-61ff38cfc93f","sub"
"05a85761-841c-4b88-ba15-3c44a9a6ee96","CH-smart charts","2020-12-19T02:52:02.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"193f1e4d-e3ea-4ac2-9f57-47f2a410bb3a","CH-Fun with Numbers","2020-12-19T02:43:01.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"5fdd037b-3406-42ec-81a4-6a88bd897a44","CH-Measurement Length","2020-12-19T02:48:43.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"64ea1f47-bd73-4a92-b7b7-aa96189f008f","CH-How many Time","2020-12-19T02:47:14.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"8900e6a2-6488-4381-9346-f82c59c58d32","CH-Shapes and Design","2020-12-19T02:44:42.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"947c0bdb-f533-485a-aad2-634beac76eb2","CH-play with Patterns","2020-12-19T02:47:55.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"a086a494-ddd4-43ff-a396-80aee2256980","CH-Measurement of capacity","2020-12-19T04:36:20.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"c18dbf86-c2a8-446b-a9d5-c30f87620e89","CH-long and short","2020-12-19T02:43:59.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"cb60efc4-2e08-4d66-9725-f56601fddb55","CH-Time","2020-12-19T04:35:39.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"f37be61c-5fd7-4b85-887c-0f9b637559cb","CH-Fun with Give and take","2020-12-19T02:46:02.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"fd5e1714-e7b9-4fa0-b2da-c0a3b56a5b17","CH-Rupees and paise","2020-12-19T02:53:03.000Z","243127c3-84ca-4459-8f86-a4343a921930","CHAPTER"
"0e115f26-c1de-484a-94f6-be114f5ca79f","Data Handling","2020-12-19T04:43:40.000Z","05a85761-841c-4b88-ba15-3c44a9a6ee96","TOPIC"
"5eb27bd5-aea2-4f40-8a00-8fe4aaa53d17","Number facts","2020-12-19T04:37:58.000Z","193f1e4d-e3ea-4ac2-9f57-47f2a410bb3a","TOPIC"
"520d5100-e48e-4d21-aaa4-566064aec60e","Measurement of capacity","2020-12-19T04:42:34.000Z","5fdd037b-3406-42ec-81a4-6a88bd897a44","TOPIC"
"c30c7494-88a0-45ae-92d9-43ac79b93436","Time","2020-12-19T04:41:18.000Z","64ea1f47-bd73-4a92-b7b7-aa96189f008f","TOPIC"
"5a0ffafc-06e4-473d-a401-ddea51889cbd","geometry","2020-12-19T04:39:48.000Z","8900e6a2-6488-4381-9346-f82c59c58d32","TOPIC"
"263e7a0f-b3d3-440f-bc66-6c0d0e05f63a","Patterns","2020-12-19T04:42:01.000Z","947c0bdb-f533-485a-aad2-634beac76eb2","TOPIC"
"df04a8f5-613e-46ac-b64d-12b36eaf7f85","Measurement of capacity","2020-12-19T04:46:26.000Z","a086a494-ddd4-43ff-a396-80aee2256980","TOPIC"
