"id","course_name","created_at","parent_id","description"
"fd6e4782-51aa-4168-b62e-a852f6e2d6e7","Grade 6","2020-12-05T07:15:19.000Z",,"course"
"08df834c-29af-44cd-b27c-1cf536038487","HINDI","2020-12-06T01:17:15.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"0fbf7e91-9f4f-4b4f-ad6a-ae7f9b78dc00","PHYSICS","2021-08-16T04:48:37.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","chapter"
"20bf9543-4df8-444b-8e04-a8ff1a8ea1b7","TAMIL","2020-12-06T01:16:40.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"274b2ff8-fd4e-48b8-973c-20311120cd6e","SOCIAL SCIENCE","2020-12-06T01:15:41.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"2d535a86-5769-4e05-b64d-bcda54ff019f","BIOLOGY","2021-08-16T04:49:08.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","CHAPTER"
"4cdc75a9-74e1-41da-9009-5803c36cb068","SCIENCE","2020-12-06T01:15:23.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"5a26580b-29cf-4529-9901-886b51d95ee8","SCIENCE","2020-12-06T01:13:23.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"62eaeb2f-1c56-426b-a886-4674ef4bb635","KANNADA","2021-08-19T02:29:23.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","SUBJECT"
"6be308a3-99f2-4a86-987b-931d11a53a85","MATHEMATICS","2020-12-06T01:13:02.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"b5f3821b-cbc0-4c3f-bbdf-0f2be6460654","CHEMISTRY","2021-08-16T04:48:54.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","CHAPTER"
"cc07b752-b883-4512-b1dd-443d6c9b7bcc","ENGLISH","2020-12-06T01:16:06.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","sub"
"f161c5b9-9e02-42c4-b625-2d5b706a1a42","URDU","2021-02-01T01:31:33.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","SUB"
"fce1a815-71c8-48e6-b37a-05e2cb63a2dd","COMPUTER SCIENCE","2021-08-10T04:16:03.000Z","fd6e4782-51aa-4168-b62e-a852f6e2d6e7","SUB"
"00f8bf01-f83e-4329-bd9c-ce9b1502c028","CH16-Key Elements Of Democratic Government","2020-12-08T05:32:29.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"05577830-430a-45ec-94a1-147284c692f3","CH7-Ashoka, The Emperor Who Gave Up War","2020-12-08T05:15:48.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"317d7e8e-de2a-4008-aa08-d479893699e7","CH23-Motions Of The Earth","2020-12-08T05:45:25.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"340151df-50fa-4dbc-bd25-8109903549a9","CH25-Major Domains Of The Earth","2020-12-08T05:48:25.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"37d0b139-462e-46a3-a9a0-3eabef04f345","CH9-Vital Villages And Thriving Towns","2020-12-08T05:20:52.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"3e86db41-c442-4fa3-9c96-fe6751e83d6f","CH24-Maps","2020-12-08T05:46:53.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"4ca9ce10-e16c-485e-b2c9-07532cfe0b28","CH6-Kingdoms, Kings And An Earliest Republic","2020-12-08T05:13:40.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"58efa32d-9366-4e0d-8728-4d3472001fda","CH2-On The Trails Of The Earliest People","2020-12-08T04:54:32.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"5e22bf41-b71f-47f7-bd23-5c5a20ba6f2a","CH15-What Is Government","2020-12-08T05:30:37.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"6249b6a5-67a6-4f20-9112-7cd28fe0bf97","CH14-Diversity And Discrimination","2020-12-08T05:29:10.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"6792746f-373c-49f9-9829-1be364b52743","CH28-India, Climate Vegtation And Wildlife","2020-12-08T05:52:12.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"691ada3b-9a15-4b4b-92a9-910a3f167b91","CH8-New Questions And Ideas","2020-12-08T05:19:13.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"7e869faa-cbdf-4fe8-baee-2cef3bf2c5c6","CH26-Major Landforms Of The Earth","2020-12-08T05:49:34.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"97854095-883e-4e83-9eaa-b34a1896ce5e","CH12-Building Paintings And Books","2020-12-08T05:26:09.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"ab83cf2c-8ce9-4000-b618-25f083f419c9","CH27-Our Country-india","2020-12-08T05:50:43.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"b2618cbb-6af8-4803-9e24-ff6a7469ac13","CH5-From Gathering To Grow Food","2020-12-08T05:12:16.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER "
"bbb7454e-044e-4c86-82df-67797c7bb3b1","CH3-In The Earliest Cities","2020-12-08T04:56:47.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"ca15c7d0-acaf-475a-a830-dbef7bc31408","CH10-Traders, Kings And Pilgrims","2020-12-08T05:22:21.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"ca4a6a88-d0c7-4a0e-9ef5-2f14d8b1c701","CH1 - What,where, How And When","2020-12-08T04:51:24.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"cc6b4178-3f14-4b98-a2aa-e0bf23766c4f","CH13-Understanding Diversity","2020-12-08T05:27:41.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"db6e0c48-0788-4514-9ae7-e98d25179251","CH11-New Empires And Kingdom","2020-12-08T05:24:54.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"e2911aab-3604-4f4d-9729-242eac9a8c68","CH17-Panchayati Raj","2020-12-08T05:34:20.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"e6e0fc85-5964-4d37-af2c-9079e7c747fc","CH22-Globes Latitude And Longititude","2020-12-08T05:43:02.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"ee3296ae-6bfc-4066-90c0-373e5bcf4a6d","CH20-Rural Livelihood","2020-12-08T05:39:08.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"f28fffb1-13d3-4b6b-839a-0acac1531b14","CH18-Rural Adminstration","2020-12-08T05:36:20.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"fe19e604-4097-42a2-baa8-616eec102595","CH21-Earth In The Solar System","2020-12-08T05:41:47.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"fefe5d3d-9053-4bb6-934a-711541ec1f06","CH19-Urban Adminstration","2020-12-08T05:37:40.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"ffd87645-153f-4a23-9a5a-fc3cb1086dc6","CH4-What Books And Burails Tell Us","2020-12-08T05:10:58.000Z","274b2ff8-fd4e-48b8-973c-20311120cd6e","CHAPTER"
"23200b57-fa31-46aa-8d30-38665e062d8e","Key Elements Of Democratic Government","2020-12-08T05:32:59.000Z","00f8bf01-f83e-4329-bd9c-ce9b1502c028","TOPIC"
"7f3ced6b-95c0-46da-9e36-5042218c5f0e","Ashoka, The Emperor Who Gave Up War","2020-12-08T05:16:21.000Z","05577830-430a-45ec-94a1-147284c692f3","TOPIC"
"bf7437a8-1370-4261-a3d7-2745c7502265","Motions Of The Earth","2020-12-08T05:45:44.000Z","317d7e8e-de2a-4008-aa08-d479893699e7","TOPIC"
"9af8eaad-788a-42c2-be9e-718c50ba3d7c","Major Domains Of The Earth","2020-12-08T05:48:40.000Z","340151df-50fa-4dbc-bd25-8109903549a9","TOPIC"
"2306e1e5-ce51-4b7b-bc47-da4cbc04f77d","Tribe, Dikus And The Vision Of A Golden Age","2020-12-08T23:39:38.000Z","37d0b139-462e-46a3-a9a0-3eabef04f345","TOPIC"
"9dd58df0-cc9e-425d-b4aa-cfd3938df868","Vital Villages And Thriving Towns","2020-12-09T00:33:50.000Z","37d0b139-462e-46a3-a9a0-3eabef04f345","TOPIC"
"11134aac-9a03-4be2-9235-7d02fa052bf6","Maps","2020-12-08T05:47:32.000Z","3e86db41-c442-4fa3-9c96-fe6751e83d6f","TOPIC"
"7658dee4-ee6e-432f-b0d3-559ffad96a2a","Kingdoms, Kings And An Earliest Republic","2020-12-08T05:14:16.000Z","4ca9ce10-e16c-485e-b2c9-07532cfe0b28","TOPIC"
"f60c1ac5-a621-4d00-b20a-e9530aa6170b","On The Trails Of The Earliest People","2020-12-08T04:55:32.000Z","58efa32d-9366-4e0d-8728-4d3472001fda","TOPIC"
"cd61a8dc-7a5a-4dcc-8128-f05df79f6d10","What Is Government","2020-12-08T05:31:07.000Z","5e22bf41-b71f-47f7-bd23-5c5a20ba6f2a","TOPIC"
"3836630a-2936-4be1-94b0-d54bc961fed7","Diversity And Discrimination","2020-12-08T05:29:52.000Z","6249b6a5-67a6-4f20-9112-7cd28fe0bf97","TOPIC"
"a5dcb5de-8315-4d1b-b0f2-9740fa75028b","India, Climate Vegtation And Wildlife","2020-12-08T05:53:03.000Z","6792746f-373c-49f9-9829-1be364b52743","TOPIC"
