"id","course_name","created_at","parent_id","description"
"8d0764ab-592e-4784-ae52-a1749a40d3cd","Grade 1","2020-12-05T07:17:31.000Z",,"course"
"0afb017e-d00e-4828-9d4c-27c31eb18db3","TAMIL","2021-02-09T03:40:44.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","SUB"
"2cbbd186-7a68-4299-8dac-7691a208245e","URDU","2021-02-01T01:15:45.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","SUB"
"6741733d-b206-41a0-aeca-38bc7fd6f757","COMPUTER SCIENCE","2021-08-10T04:14:39.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","subject"
"713ba3e0-82dc-4ddc-973e-d9bbd5cb18f6","ENGLISH","2020-12-06T01:02:52.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","sub"
"7a6fd170-926d-44fb-8daf-bb039f4ea713","SOCIAL SCIENCE","2020-12-06T01:02:28.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","sub"
"ba873b1c-236a-4854-a79e-bc1fb6451bcb","SCIENCE","2020-12-06T01:01:47.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","sub"
"e1a42bba-647f-42d4-a18c-843417b174d9","HINDI","2021-02-01T01:14:48.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","SUB"
"e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","MATHEMATICS","2020-12-06T01:01:03.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","sub"
"f16929ba-98f5-4821-9af6-1bad0ee3e592","KANNADA","2021-08-19T02:27:32.000Z","8d0764ab-592e-4784-ae52-a1749a40d3cd","SUBJECT"
"5d08e0ad-5bc6-4f80-ad23-e8c6ae14ccdc","Code Lab","2021-07-27T02:52:09.000Z","713ba3e0-82dc-4ddc-973e-d9bbd5cb18f6","Code Lab 1"
"27f77196-96a6-4084-b55d-1a59321bb3f1","Session 1","2021-07-27T04:46:03.000Z","5d08e0ad-5bc6-4f80-ad23-e8c6ae14ccdc","topic"
"17884bb9-6c69-42d2-85df-092a45a4d61f","CH-Plants and animals around us","2020-12-19T01:01:02.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"57012a0d-7da2-4a47-a5d2-6636ad40ac43","CH-My neighborhood","2020-12-19T01:12:04.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"60a63535-fedc-439c-9391-677dba3549a8","CH-Means of transport and road safety","2020-12-19T00:58:18.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"8438a56b-6db0-49f7-83b1-ebd98ca57e35","CH-Air and water","2020-12-18T07:07:45.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"a6c245fc-90b2-4766-8799-1494227ccb28","CH- My family and our celebration","2020-12-18T07:10:11.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"da9cb38f-89e8-47ef-b817-7c851dbd2796","CH-The earth and the sky","2020-12-19T01:13:09.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"dfdb85ca-93e7-4e39-9b88-6370cac6ba87","CH-Good habits","2020-12-19T01:14:08.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"fb64534e-5f66-4d34-984e-e1e052e7812d","CH-I and my body","2020-12-18T07:01:32.000Z","ba873b1c-236a-4854-a79e-bc1fb6451bcb","CHAPTER"
"689a6d01-5d6f-41b9-b025-6552fefd3235","Animal's life","2020-12-19T01:10:35.000Z","17884bb9-6c69-42d2-85df-092a45a4d61f","TOPIC"
"8848774b-ec27-49e0-846b-fecb03e011e9","Plant life","2020-12-19T01:01:54.000Z","17884bb9-6c69-42d2-85df-092a45a4d61f","TOPIC"
"adbab828-827b-4f6e-87ed-1e5721bc94cf","Food","2020-12-19T01:08:37.000Z","17884bb9-6c69-42d2-85df-092a45a4d61f","TOPIC"
"dd92d5da-f451-4b2e-bca5-2c3a8c13db4e","Living and Non living things","2020-12-19T01:09:15.000Z","17884bb9-6c69-42d2-85df-092a45a4d61f","TOPIC"
"e8c405c6-3cde-46c1-8a69-f78dc2e42409","Clothes","2020-12-19T01:11:06.000Z","17884bb9-6c69-42d2-85df-092a45a4d61f","TOPIC"
"9342e25a-c6ae-4cbc-84e2-4fc36ecf6977","Our School","2020-12-19T01:12:27.000Z","57012a0d-7da2-4a47-a5d2-6636ad40ac43","TOPIC"
"e92294be-21df-410e-98f1-a1a0cc7b33f3","Safety and first aid","2020-12-19T00:59:13.000Z","60a63535-fedc-439c-9391-677dba3549a8","TOPIC"
"e3474bf4-5523-4e09-968f-34c3d371b8c5","Air and water","2020-12-18T07:09:01.000Z","8438a56b-6db0-49f7-83b1-ebd98ca57e35","TOPIC"
"32d00e2f-beb4-425e-9837-e852c94840d2","Our family","2020-12-18T07:10:31.000Z","a6c245fc-90b2-4766-8799-1494227ccb28","TOPIC"
"590a4545-8877-42d7-b974-f28c33535278","Our Neighbourhood","2020-12-19T00:57:14.000Z","a6c245fc-90b2-4766-8799-1494227ccb28","TOPIC"
"d0d6c83f-4994-432c-a9d8-505ca6c937ef","Our Festivals","2020-12-18T07:11:53.000Z","a6c245fc-90b2-4766-8799-1494227ccb28","TOPIC"
"ce389a5c-7f01-4a30-ad0b-a386a78b9f9b","Our Universe","2020-12-19T01:13:33.000Z","da9cb38f-89e8-47ef-b817-7c851dbd2796","TOPIC"
"67936b29-f59d-4924-9a98-78cc80355416","Good habits","2020-12-19T01:15:57.000Z","dfdb85ca-93e7-4e39-9b88-6370cac6ba87","TOPIC"
"75db0191-e589-4404-9e8d-f79bf6ee01fa","Housing","2020-12-19T01:16:35.000Z","dfdb85ca-93e7-4e39-9b88-6370cac6ba87","TOPIC"
"bf0880b3-e2c3-4d71-bb4f-c65a25dcc639","Major Directions","2020-12-19T01:17:08.000Z","dfdb85ca-93e7-4e39-9b88-6370cac6ba87","TOPIC"
"099243d3-72fa-485c-ada2-fa9e16778382","The human body","2020-12-18T07:03:23.000Z","fb64534e-5f66-4d34-984e-e1e052e7812d","TOPIC"
"4ee479a7-7605-43e7-9c20-cc0b06878b0c","The human body","2020-12-18T07:02:29.000Z","fb64534e-5f66-4d34-984e-e1e052e7812d","TOPIC"
"fed66846-893c-4a8b-ae69-cf60fa30c6d0","About Myself","2020-12-18T07:04:19.000Z","fb64534e-5f66-4d34-984e-e1e052e7812d","TOPIC"
"101c8d77-5dc3-4770-8295-276b8ed4adf4","CH3-Addition","2020-12-18T05:03:05.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"2130267e-18e2-451e-a857-8f06f4e2e3da","CH7-Measurement","2020-12-18T05:07:30.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"2fef145b-475b-4174-b934-7c1aae042573","CH11-Numbers from 51 to 100","2020-12-18T05:12:12.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"3e07e005-b962-4f3a-9548-172b4f817554","CH8-Numbers from 21to 50","2020-12-18T05:08:28.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"3f084146-a71a-478b-a862-b735a2c728da","CH1-Shape and space","2020-12-18T05:01:49.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"620adc68-16a7-4892-a3f1-5800d50d3602","CH10-Patterns","2020-12-18T05:10:24.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"6a777275-5726-43a7-940a-d0cc42222f6b","CH6-Time","2020-12-18T05:05:58.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"6fff4a8b-1741-4442-ad13-70739aa2f5b6","CH13-How many","2020-12-18T05:13:33.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
"93c0722d-c634-44d1-aff7-6caa32ff8f66","CH4-Subtraction","2020-12-18T05:04:00.000Z","e7f2d3c1-f130-4d08-ac2d-02330d2d92eb","CHAPTER"
